21036: ['08', '17', '25', '28', '33'], ['07', '11']
21037: ['10', '21', '27', '29', '33'], ['04', '12']
21038: ['09', '11', '20', '29', '32'], ['01', '07']
21039: ['04', '12', '14', '21', '35'], ['02', '11']
21040: ['02', '03', '09', '16', '19'], ['03', '07']
21041: ['02', '05', '09', '11', '32'], ['04', '09']
21042: ['09', '15', '20', '23', '29'], ['04', '05']
21043: ['07', '12', '17', '19', '34'], ['01', '10']
21044: ['06', '18', '31', '33', '35'], ['10', '11']
21045: ['01', '04', '06', '11', '19'], ['07', '09']
21046: ['06', '08', '12', '14', '18'], ['06', '08']
21047: ['01', '06', '09', '25', '33'], ['04', '08']
21048: ['04', '07', '17', '21', '27'], ['10', '12']
21049: ['01', '10', '22', '23', '25'], ['02', '12']
21050: ['09', '22', '32', '33', '35'], ['05', '10']
21051: ['01', '04', '14', '16', '19'], ['03', '04']
21052: ['02', '11', '13', '14', '30'], ['09', '12']
21053: ['03', '06', '15', '17', '35'], ['07', '11']
21054: ['03', '06', '17', '20', '25'], ['03', '09']
21055: ['03', '06', '10', '11', '24'], ['10', '11']
21056: ['03', '11', '16', '21', '26'], ['09', '10']
21057: ['05', '07', '19', '20', '28'], ['05', '07']
21058: ['13', '15', '17', '23', '34'], ['01', '11']
21059: ['04', '16', '27', '28', '35'], ['02', '09']
21060: ['09', '13', '25', '31', '33'], ['03', '07']
21061: ['15', '19', '20', '26', '32'], ['04', '07']
21062: ['04', '06', '23', '32', '34'], ['05', '07']
21063: ['05', '09', '14', '29', '30'], ['09', '11']
21064: ['01', '17', '19', '32', '34'], ['06', '10']
21065: ['23', '25', '30', '31', '35'], ['07', '08']
21066: ['24', '26', '29', '34', '35'], ['09', '11']
21067: ['01', '04', '22', '23', '34'], ['08', '09']
21068: ['02', '20', '21', '26', '30'], ['02', '10']
21069: ['01', '03', '24', '32', '33'], ['04', '06']
21070: ['03', '20', '21', '22', '24'], ['06', '12']
21071: ['08', '11', '16', '29', '35'], ['01', '04']
21072: ['02', '03', '15', '22', '26'], ['03', '11']
21073: ['08', '12', '14', '20', '24'], ['06', '10']
21074: ['11', '14', '18', '20', '25'], ['03', '07']
21075: ['06', '14', '15', '17', '20'], ['01', '05']
21076: ['06', '13', '22', '25', '26'], ['02', '04']
21077: ['02', '06', '09', '21', '25'], ['06', '08']
21078: ['02', '08', '17', '19', '25'], ['01', '05']
21079: ['06', '14', '19', '26', '33'], ['08', '11']
21080: ['15', '16', '20', '29', '30'], ['06', '10']
21081: ['05', '13', '24', '29', '35'], ['07', '08']
21082: ['01', '14', '22', '29', '33'], ['03', '10']
21083: ['07', '09', '11', '26', '35'], ['01', '08']
21084: ['02', '10', '14', '30', '33'], ['06', '09']
21085: ['01', '12', '15', '26', '35'], ['10', '11']
21086: ['02', '03', '07', '16', '17'], ['06', '10']
21087: ['10', '14', '15', '25', '28'], ['03', '10']
21088: ['02', '14', '31', '34', '35'], ['01', '07']
21089: ['01', '17', '24', '28', '35'], ['10', '12']
21090: ['06', '07', '19', '26', '32'], ['06', '12']
21091: ['01', '04', '10', '21', '29'], ['03', '05']
21092: ['12', '14', '27', '28', '34'], ['03', '07']
21093: ['20', '25', '27', '28', '31'], ['08', '11']
21094: ['05', '06', '24', '27', '33'], ['05', '12']
21095: ['10', '15', '19', '20', '30'], ['11', '12']
21096: ['07', '08', '10', '20', '21'], ['01', '05']
21097: ['11', '26', '30', '31', '33'], ['03', '10']
21098: ['02', '07', '21', '27', '33'], ['07', '09']
21099: ['15', '19', '27', '28', '30'], ['03', '04']
21100: ['07', '11', '23', '26', '28'], ['02', '07']
21101: ['13', '18', '19', '27', '32'], ['06', '11']
21102: ['02', '08', '11', '16', '23'], ['02', '07']
21103: ['04', '10', '23', '30', '31'], ['05', '11']
21104: ['23', '25', '26', '30', '33'], ['03', '11']
21105: ['07', '10', '11', '17', '18'], ['04', '09']
21106: ['02', '13', '14', '32', '34'], ['02', '12']
21107: ['03', '05', '13', '20', '25'], ['07', '11']
21108: ['05', '19', '22', '26', '35'], ['02', '06']
21109: ['03', '04', '07', '27', '31'], ['06', '09']
21110: ['11', '14', '29', '31', '32'], ['11', '12']
21111: ['07', '08', '15', '19', '28'], ['08', '09']
21112: ['18', '21', '22', '23', '35'], ['11', '12']
21113: ['17', '18', '25', '27', '28'], ['04', '08']
21114: ['08', '09', '13', '29', '30'], ['01', '11']
21115: ['08', '13', '19', '20', '29'], ['06', '10']
21116: ['04', '25', '28', '29', '35'], ['03', '11']
21117: ['11', '18', '21', '22', '33'], ['05', '06']
21118: ['14', '17', '18', '28', '34'], ['02', '03']
21119: ['01', '02', '09', '16', '30'], ['09', '10']
21120: ['05', '10', '21', '25', '31'], ['05', '11']
21121: ['02', '15', '19', '29', '30'], ['02', '09']
21122: ['14', '15', '26', '27', '29'], ['04', '05']
21123: ['08', '23', '26', '27', '33'], ['08', '09']
21124: ['10', '17', '22', '25', '35'], ['07', '09']
21125: ['17', '19', '21', '27', '31'], ['04', '09']
21126: ['01', '11', '12', '34', '35'], ['09', '12']
21127: ['01', '02', '15', '17', '26'], ['02', '11']
21128: ['14', '17', '18', '23', '27'], ['05', '08']
21129: ['02', '16', '17', '18', '34'], ['04', '10']
21130: ['02', '03', '14', '27', '28'], ['05', '10']
21131: ['06', '08', '16', '34', '35'], ['05', '06']
21132: ['04', '21', '28', '29', '33'], ['03', '11']
21133: ['08', '09', '17', '26', '28'], ['06', '08']
21134: ['02', '06', '14', '19', '28'], ['01', '06']
21135: ['04', '07', '17', '29', '31'], ['05', '06']
21136: ['08', '12', '19', '27', '33'], ['02', '05']
21137: ['02', '07', '13', '14', '19'], ['04', '05']
21138: ['09', '11', '12', '15', '31'], ['05', '11']
21139: ['05', '13', '18', '23', '34'], ['08', '09']
21140: ['05', '24', '26', '33', '35'], ['09', '12']
21141: ['02', '08', '16', '29', '34'], ['05', '12']
21142: ['11', '13', '17', '19', '25'], ['02', '09']
21143: ['09', '17', '19', '29', '34'], ['04', '11']
21144: ['03', '20', '25', '30', '34'], ['02', '09']
21145: ['03', '08', '25', '29', '30'], ['01', '06']
21146: ['03', '05', '08', '18', '20'], ['09', '11']
21147: ['01', '02', '08', '12', '26'], ['01', '07']
21148: ['01', '04', '12', '16', '29'], ['04', '08']
21149: ['20', '26', '28', '30', '35'], ['10', '11']
21150: ['04', '10', '11', '23', '26'], ['07', '10']
22001: ['08', '11', '19', '22', '29'], ['03', '11']
22002: ['04', '06', '07', '09', '24'], ['04', '12']
22003: ['02', '18', '24', '25', '34'], ['08', '12']
22004: ['07', '20', '27', '30', '33'], ['03', '04']
22005: ['02', '13', '17', '19', '34'], ['05', '09']
22006: ['01', '05', '07', '17', '20'], ['05', '12']
22007: ['05', '22', '23', '25', '35'], ['03', '11']
22008: ['01', '02', '13', '18', '34'], ['06', '07']
22009: ['13', '14', '18', '31', '33'], ['07', '10']
22010: ['04', '19', '25', '31', '35'], ['02', '11']
22011: ['03', '05', '17', '24', '32'], ['05', '12']
22012: ['03', '05', '10', '33', '34'], ['07', '10']
22013: ['04', '09', '16', '25', '32'], ['05', '06']
22014: ['01', '04', '10', '18', '32'], ['01', '09']
22015: ['01', '02', '08', '12', '30'], ['05', '12']
22016: ['01', '07', '17', '26', '32'], ['01', '09']
22017: ['10', '14', '18', '23', '25'], ['07', '11']
22018: ['16', '21', '29', '31', '34'], ['06', '09']
22019: ['01', '04', '07', '17', '21'], ['01', '02']
22020: ['16', '17', '30', '31', '35'], ['08', '09']
22021: ['11', '15', '16', '18', '35'], ['06', '09']
22022: ['01', '05', '14', '17', '28'], ['06', '07']
22023: ['04', '05', '18', '20', '25'], ['11', '12']
22024: ['01', '02', '11', '30', '35'], ['01', '12']
22025: ['04', '07', '22', '24', '29'], ['01', '07']
22026: ['11', '14', '22', '23', '27'], ['08', '10']
22027: ['03', '06', '11', '31', '32'], ['05', '12']
22028: ['04', '09', '16', '17', '35'], ['01', '07']
22029: ['07', '08', '10', '14', '17'], ['10', '12']
22030: ['12', '14', '15', '21', '30'], ['01', '09']
22031: ['07', '14', '16', '20', '28'], ['04', '08']
22032: ['05', '09', '18', '31', '32'], ['01', '05']
22033: ['08', '15', '16', '19', '33'], ['03', '04']
22034: ['02', '10', '24', '27', '28'], ['06', '07']
22035: ['09', '11', '13', '23', '31'], ['05', '08']
22036: ['18', '19', '21', '26', '34'], ['06', '07']
22037: ['01', '09', '17', '20', '28'], ['06', '10']
22038: ['07', '09', '11', '12', '26'], ['09', '12']
22039: ['01', '08', '11', '22', '31'], ['05', '11']
22040: ['10', '19', '25', '29', '33'], ['08', '12']
22041: ['05', '15', '25', '26', '33'], ['06', '11']
22042: ['08', '10', '11', '29', '32'], ['02', '06']
22043: ['02', '16', '17', '24', '30'], ['09', '12']
22044: ['01', '02', '16', '17', '20'], ['03', '07']
22045: ['02', '03', '07', '12', '20'], ['01', '05']
22046: ['06', '07', '12', '22', '27'], ['03', '05']
22047: ['07', '10', '11', '12', '33'], ['03', '11']
22048: ['16', '22', '28', '29', '32'], ['08', '09']
22049: ['06', '10', '20', '28', '35'], ['01', '10']
22050: ['02', '10', '21', '24', '30'], ['08', '10']
22051: ['01', '16', '17', '19', '33'], ['05', '06']
22052: ['01', '13', '18', '29', '35'], ['04', '09']
22053: ['09', '17', '19', '20', '25'], ['01', '09']
22054: ['05', '16', '21', '23', '34'], ['07', '10']
22055: ['01', '02', '12', '15', '23'], ['04', '06']
22056: ['02', '11', '15', '17', '31'], ['07', '09']
22057: ['06', '12', '18', '21', '35'], ['07', '10']
22058: ['03', '04', '24', '26', '35'], ['07', '08']
22059: ['04', '15', '18', '32', '34'], ['04', '09']
